"Cylinders","Displacement","HP","Weight","Year","Acceleration","MPG"
4,98,60,2164,76,22.1,24.5
4,90,70,1937,76,14.2,29
4,91,53,1795,76,17.4,33
6,225,100,3651,76,17.7,20
6,250,78,3574,76,21,18
6,250,110,3645,76,16.2,18.5
6,258,95,3193,76,17.8,17.5
4,97,71,1825,76,12.2,29.5
4,85,70,1990,76,17,32
4,97,75,2155,76,16.4,28
4,140,72,2565,76,13.6,26.5
4,130,102,3150,76,15.7,20
8,318,150,3940,76,13.2,13
4,120,88,3270,76,21.9,19
6,156,108,2930,76,15.5,19
6,168,120,3820,76,16.7,16.5
8,350,180,4380,76,12.1,16.5
8,350,145,4055,76,12,13
8,302,130,3870,76,15,13
8,318,150,3755,76,14,13
4,98,68,2045,77,18.5,31.5
4,111,80,2155,77,14.8,30
4,79,58,1825,77,18.6,36
4,122,96,2300,77,15.5,25.5
4,85,70,1945,77,16.8,33.5
8,305,145,3880,77,12.5,17.5
8,260,110,4060,77,19,17
8,318,145,4140,77,13.7,15.5
8,302,130,4295,77,14.9,15
6,250,110,3520,77,16.4,17.5
6,231,105,3425,77,16.9,20.5
6,225,100,3630,77,17.7,19
6,250,98,3525,77,19,18.5
8,400,180,4220,77,11.1,16
8,350,170,4165,77,11.4,15.5
8,400,190,4325,77,12.2,15.5
8,351,149,4335,77,14.5,16
4,97,78,1940,77,14.5,29
4,151,88,2740,77,16,24.5
4,97,75,2265,77,18.2,26
4,140,89,2755,77,15.8,25.5
4,98,63,2051,77,17,30.5
4,98,83,2075,77,15.9,33.5
4,97,67,1985,77,16.4,30
4,97,78,2190,77,14.1,30.5
6,146,97,2815,77,14.5,22
4,121,110,2600,77,12.8,21.5
3,80,110,2720,77,13.5,21.5
4,90,48,1985,78,21.5,43.1
4,98,66,1800,78,14.4,36.1
4,78,52,1985,78,19.4,32.8
4,85,70,2070,78,18.6,39.4
4,91,60,1800,78,16.4,36.1
8,260,110,3365,78,15.5,19.9
8,318,140,3735,78,13.2,19.4
8,302,139,3570,78,12.8,20.2
6,231,105,3535,78,19.2,19.2
6,200,95,3155,78,18.2,20.5
6,200,85,2965,78,15.8,20.2
4,140,88,2720,78,15.4,25.1
6,225,100,3430,78,17.2,20.5
6,232,90,3210,78,17.2,19.4
6,231,105,3380,78,15.8,20.6
6,200,85,3070,78,16.7,20.8
6,225,110,3620,78,18.7,18.6
6,258,120,3410,78,15.1,18.1
8,305,145,3425,78,13.2,19.2
6,231,165,3445,78,13.4,17.7
8,302,139,3205,78,11.2,18.1
8,318,140,4080,78,13.7,17.5
4,98,68,2155,78,16.5,30
4,134,95,2560,78,14.2,27.5
4,119,97,2300,78,14.7,27.2
4,105,75,2230,78,14.5,30.9
4,134,95,2515,78,14.8,21.1
4,156,105,2745,78,16.7,23.2
4,151,85,2855,78,17.6,23.8
4,119,97,2405,78,14.9,23.9
5,131,103,2830,78,15.9,20.3
6,163,125,3140,78,13.6,17
4,121,115,2795,78,15.7,21.6
6,163,133,3410,78,15.8,16.2
4,89,71,1990,78,14.9,31.5
4,98,68,2135,78,16.6,29.5
6,231,115,3245,79,15.4,21.5
6,200,85,2990,79,18.2,19.8
4,140,88,2890,79,17.3,22.3
6,232,90,3265,79,18.2,20.2
6,225,110,3360,79,16.6,20.6
8,305,130,3840,79,15.4,17
8,302,129,3725,79,13.4,17.6
8,351,138,3955,79,13.2,16.5
8,318,135,3830,79,15.2,18.2
8,350,155,4360,79,14.9,16.9
8,351,142,4054,79,14.3,15.5
8,267,125,3605,79,15,19.2
8,360,150,3940,79,13,18.5
4,89,71,1925,79,14,31.9
4,86,65,1975,79,15.2,34.1
4,98,80,1915,79,14.4,35.7
4,121,80,2670,79,15,27.4
5,183,77,3530,79,20.1,25.4
8,350,125,3900,79,17.4,23
4,141,71,3190,79,24.8,27.2
8,260,90,3420,79,22.2,23.9
4,105,70,2200,79,13.2,34.2
4,105,70,2150,79,14.9,34.5
4,85,65,2020,79,19.2,31.8
4,91,69,2130,79,14.7,37.3
4,151,90,2670,79,16,28.4
6,173,115,2595,79,11.3,28.8
6,173,115,2700,79,12.9,26.8
4,151,90,2556,79,13.2,33.5
4,98,76,2144,80,14.7,41.5
4,89,60,1968,80,18.8,38.1
4,98,70,2120,80,15.5,32.1
4,86,65,2019,80,16.4,37.2
4,151,90,2678,80,16.5,28
4,140,88,2870,80,18.1,26.4
4,151,90,3003,80,20.1,24.3
6,225,90,3381,80,18.7,19.1
4,97,78,2188,80,15.8,34.3
4,134,90,2711,80,15.5,29.8
4,120,75,2542,80,17.5,31.3
4,119,92,2434,80,15,37
4,108,75,2265,80,15.2,32.2
4,86,65,2110,80,17.9,46.6
4,156,105,2800,80,14.4,27.9
4,85,65,2110,80,19.2,40.8
4,90,48,2085,80,21.7,44.3
4,90,48,2335,80,23.7,43.4
5,121,67,2950,80,19.9,36.4
4,146,67,3250,80,21.8,30
4,91,67,1850,80,13.8,44.6
4,97,67,2145,80,18,33.8
4,89,62,1845,80,15.3,29.8
6,168,132,2910,80,11.4,32.7
3,70,100,2420,80,12.5,23.7
4,122,88,2500,80,15.1,35
4,107,72,2290,80,17,32.4
4,135,84,2490,81,15.7,27.2
4,151,84,2635,81,16.4,26.6
4,156,92,2620,81,14.4,25.8
6,173,110,2725,81,12.6,23.5
4,135,84,2385,81,12.9,30
4,79,58,1755,81,16.9,39.1
4,86,64,1875,81,16.4,39
4,81,60,1760,81,16.1,35.1
4,97,67,2065,81,17.8,32.3
4,85,65,1975,81,19.4,37
4,89,62,2050,81,17.3,37.7
4,91,68,1985,81,16,34.1
4,105,63,2215,81,14.9,34.7
4,98,65,2045,81,16.2,34.4
4,98,65,2380,81,20.7,29.9
4,105,74,2190,81,14.2,33
4,107,75,2210,81,14.4,33.7
4,108,75,2350,81,16.8,32.4
4,119,100,2615,81,14.8,32.9
4,120,74,2635,81,18.3,31.6
4,141,80,3230,81,20.4,28.1
6,145,76,3160,81,19.6,30.7
6,168,116,2900,81,12.6,25.4
6,146,120,2930,81,13.8,24.2
6,231,110,3415,81,15.8,22.4
8,350,105,3725,81,19,26.6
6,200,88,3060,81,17.1,20.2
6,225,85,3465,81,16.6,17.6
4,112,88,2605,82,19.6,28
4,112,88,2640,82,18.6,27
4,112,88,2395,82,18,34
4,112,85,2575,82,16.2,31
4,135,84,2525,82,16,29
4,151,90,2735,82,18,27
4,140,92,2865,82,16.4,24
4,105,74,1980,82,15.3,36
4,91,68,2025,82,18.2,37
4,91,68,1970,82,17.6,31
4,105,63,2125,82,14.7,38
4,98,70,2125,82,17.3,36
4,120,88,2160,82,14.5,36
4,107,75,2205,82,14.5,36
4,108,70,2245,82,16.9,34
4,91,67,1965,82,15,38
4,91,67,1965,82,15.7,32
4,91,67,1995,82,16.2,38
6,181,110,2945,82,16.4,25
6,262,85,3015,82,17,38
4,156,92,2585,82,14.5,26
6,232,112,2835,82,14.7,22
4,144,96,2665,82,13.9,32
4,135,84,2370,82,13,36
4,151,90,2950,82,17.3,27
4,140,86,2790,82,15.6,27
4,97,52,2130,82,24.6,44
4,135,84,2295,82,11.6,32
4,120,79,2625,82,18.6,28
4,119,82,2720,82,19.4,31
